# Archive/proxy
#	Ice core
#--------------------
# Contribution Date
#	Date: 2012-03-13 18:14:41
#--------------------
# Title
#	Study Name: GRIP  Ice core d18O
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Vinther, B.M. and Jones, P.D. and Briffa, K.R. and Clausen, H.B. and Andersen, K.K. and Dahl-Jensen, D. and Johnsen, S.J.
#	Journal Name: Quaternary Science Reviews
#	Published Title: Climatic signals in multiple highly resolved stable isotope records from Greenland
#	Published Date: 2010
#	DOI: 10.1016/j.quascirev.2009.11.002
#	Abstract: 
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: Greenland
#	Country: 
#	Northmost Latitude: 72.58
# 	Southmost Latitude: 72.58
# 	Eastmost Longitute: -37.64
# 	Westmost Longitute: -37.64
# 	Elevation: 3230
#------------------
# Data Collection  
#	Core Name: GRIP
#	First Year: 1
#	Last Year: 1979
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>ice core>oxygen isotopes>delta 18O per mille 
#----------------
# Variables 
#	age_AD	Age (years AD)
#	d18OiceSMOW	delta18O ice (per mil SMOW)
# 
age_AD	d18OiceSMOW
1979	-39.09
1978	-36.65
1977	-36.04
1976	-38.83
1975	-39.08
1974	-37.98
1973	-38.49
1972	-36.92
1971	-37.2
1970	-39.32
1969	-35.89
1968	-36.84
1967	-34.38
1966	-37.07
1965	-35.23
1964	-36.74
1963	-37.57
1962	-39.3
1961	-37.42
1960	-36.3
1959	-35.4
1958	-39.2
1957	-38.66
1956	-38.52
1955	-38.07
1954	-37.76
1953	-38.23
1952	-38.23
1951	-41.45
1950	-39.96
1949	-39.05
1948	-38.96
1947	-35.87
1946	-35.72
1945	-41.53
1944	-38.14
1943	-37.72
1942	-34.52
1941	-40.8
1940	-37.36
1939	-37.31
1938	-42.89
1937	-38.48
1936	-40.98
1935	-37.03
1934	-38.23
1933	-37.89
1932	-35.05
1931	-36.37
1930	-36.86
1929	-40
1928	-39.88
1927	-38.67
1926	-37.94
1925	-38.31
1924	-39.13
1923	-36.06
1922	-36.96
1921	-39.52
1920	-40.05
1919	-37.69
1918	-40.31
1917	-36.71
1916	-36.29
1915	-43.28
1914	-37.15
1913	-42.34
1912	-37.08
1911	-38.4
1910	-39.05
1909	-37.06
1908	-39.9
1907	-40.98
1906	-39.23
1905	-40.87
1904	-35.15
1903	-35.71
1902	-38.83
1901	-37.2
1900	-40.41
1899	-35.65
1898	-35.96
1897	-36.51
1896	-39.08
1895	-35.39
1894	-40.73
1893	-42.26
1892	-42.07
1891	-39.25
1890	-38.22
1889	-36.64
1888	-40.31
1887	-36.83
1886	-39.57
1885	-38.41
1884	-37.66
1883	-37.47
1882	-38.4
1881	-36.46
1880	-38.8
1879	-35.34
1878	-37.5
1877	-34.59
1876	-34.4
1875	-36.11
1874	-40.09
1873	-36.77
1872	-36.54
1871	-37.72
1870	-37.52
1869	-37.73
1868	-38.61
1867	-39.41
1866	-39.63
1865	-37.35
1864	-43.49
1863	-38.76
1862	-37.9
1861	-40.52
1860	-39.44
1859	-37.61
1858	-37.48
1857	-40.39
1856	-37.8
1855	-36.62
1854	-37.67
1853	-34.7
1852	-38.06
1851	-37.37
1850	-37.53
1849	-38.88
1848	-38.71
1847	-35.28
1846	-38.76
1845	-37.27
1844	-38.58
1843	-38.92
1842	-35.55
1841	-35.79
1840	-35.32
1839	-37.07
1838	-37.84
1837	-41.42
1836	-34.72
1835	-40.65
1834	-38.14
1833	-38.29
1832	-38.65
1831	-39.16
1830	-38.38
1829	-34.88
1828	-33.38
1827	-38.94
1826	-38.73
1825	-39.24
1824	-39.15
1823	-38.58
1822	-39.2
1821	-36.46
1820	-36.65
1819	-37.25
1818	-40.55
1817	-40.69
1816	-38.98
1815	-37.44
1814	-38.94
1813	-38.51
1812	-39.93
1811	-38.57
1810	-39.45
1809	-35.5
1808	-37.93
1807	-34.91
1806	-37.32
1805	-36.14
1804	-37.75
1803	-41.9
1802	-39.77
1801	-37.51
1800	-36.31
1799	-39.49
1798	-38.51
1797	-39.03
1796	-37.11
1795	-39.58
1794	-39.14
1793	-37.61
1792	-37.33
1791	-38.32
1790	-34.98
1789	-39.01
1788	-35.86
1787	-35.17
1786	-38.03
1785	-37.13
1784	-38.16
1783	-39.8
1782	-35.27
1781	-39.4
1780	-37.99
1779	-40.79
1778	-37.48
1777	-39.63
1776	-37.66
1775	-37.24
1774	-36.68
1773	-36.39
1772	-37.21
1771	-37.71
1770	-37.97
1769	-37.99
1768	-37.51
1767	-38.24
1766	-35.97
1765	-37.67
1764	-36.99
1763	-37.44
1762	-38.77
1761	-40.87
1760	-36.4
1759	-37.56
1758	-38.92
1757	-37.89
1756	-38.11
1755	-36.37
1754	-35.65
1753	-35.9
1752	-39.29
1751	-38.52
1750	-37.35
1749	-39.11
1748	-40.93
1747	-35.79
1746	-36.7
1745	-37
1744	-38.1
1743	-41.38
1742	-38.46
1741	-35.52
1740	-34.7
1739	-36.26
1738	-41.62
1737	-40.98
1736	-37.27
1735	-39.25
1734	-37.57
1733	-37.27
1732	-35.72
1731	-35.77
1730	-34.94
1729	-37.6
1728	-39.52
1727	-37.16
1726	-36.51
1725	-38.8
1724	-38.09
1723	-41.03
1722	-41.01
1721	-40.34
1720	-38.51
1719	-38.55
1718	-43.51
1717	-39.1
1716	-38.84
1715	-35.88
1714	-37.06
1713	-36.56
1712	-39.63
1711	-39.82
1710	-36.65
1709	-36.2
1708	-39.22
1707	-39.53
1706	-39.89
1705	-38.33
1704	-33.39
1703	-38.17
1702	-39.88
1701	-40.45
1700	-38.19
1699	-41.19
1698	-38.43
1697	-37.47
1696	-35.77
1695	-39.43
1694	-40.2
1693	-38.23
1692	-34.6
1691	-39.24
1690	-35.78
1689	-37.93
1688	-36.95
1687	-39
1686	-40.26
1685	-37.69
1684	-38.56
1683	-40.87
1682	-37.04
1681	-36.82
1680	-43.83
1679	-35.53
1678	-37.78
1677	-40.11
1676	-38.3
1675	-34.4
1674	-34.79
1673	-38.8
1672	-38.51
1671	-38.2
1670	-35.78
1669	-37.72
1668	-34.45
1667	-35.53
1666	-38.51
1665	-37.41
1664	-37.97
1663	-38.93
1662	-40.51
1661	-38.71
1660	-37.39
1659	-39.89
1658	-37.47
1657	-36.76
1656	-40.35
1655	-38.33
1654	-36.86
1653	-39.74
1652	-39.6
1651	-37.14
1650	-37.05
1649	-38.64
1648	-39
1647	-37.03
1646	-38.11
1645	-40.05
1644	-41.88
1643	-35.41
1642	-35.95
1641	-38.95
1640	-40.66
1639	-37.91
1638	-37.66
1637	-38.48
1636	-38.55
1635	-36.99
1634	-40.56
1633	-36.17
1632	-37.7
1631	-36.93
1630	-35.88
1629	-37.7
1628	-39.67
1627	-40.89
1626	-39.99
1625	-41.87
1624	-38.31
1623	-37.07
1622	-39.13
1621	-39.3
1620	-37.44
1619	-39.35
1618	-39.76
1617	-36.63
1616	-38.27
1615	-34.93
1614	-36.39
1613	-37.74
1612	-37.89
1611	-37.7
1610	-41.96
1609	-35.23
1608	-38.27
1607	-39.34
1606	-37.88
1605	-41.9
1604	-37.57
1603	-36.79
1602	-38.7
1601	-35.84
1600	-38.99
1599	-38.89
1598	-39.16
1597	-37.94
1596	-34.87
1595	-36.1
1594	-36.87
1593	-38.39
1592	-36.95
1591	-37.59
1590	-38.97
1589	-37.81
1588	-37.06
1587	-34.15
1586	-39.6
1585	-40.51
1584	-38.51
1583	-38.19
1582	-34.33
1581	-40.56
1580	-40.17
1579	-36.55
1578	-35.33
1577	-36.41
1576	-41.71
1575	-38.93
1574	-36.83
1573	-35.62
1572	-38.2
1571	-35.76
1570	-37.35
1569	-37.02
1568	-40.52
1567	-39.86
1566	-39.53
1565	-39.68
1564	-39.33
1563	-38.33
1562	-38.27
1561	-40.55
1560	-37.95
1559	-37.45
1558	-36.17
1557	-36.71
1556	-38.4
1555	-38.17
1554	-35.86
1553	-36.24
1552	-36.25
1551	-38.84
1550	-38.04
1549	-37.53
1548	-38.33
1547	-38.97
1546	-38.47
1545	-38.53
1544	-37.71
1543	-37.57
1542	-38.83
1541	-36.59
1540	-39.2
1539	-36.79
1538	-37.74
1537	-36.58
1536	-40.87
1535	-36.02
1534	-38.51
1533	-37.53
1532	-37.97
1531	-36.33
1530	-37.15
1529	-40.26
1528	-36.98
1527	-40.75
1526	-39.77
1525	-36.41
1524	-38.44
1523	-38.36
1522	-39.15
1521	-35.98
1520	-36.55
1519	-40.43
1518	-40.78
1517	-38.04
1516	-36.04
1515	-35.02
1514	-38.4
