# Archive/proxy
#	Ice core
#--------------------
# Contribution Date
#	Date: 2012-03-13 18:13:57
#--------------------
# Title
#	Study Name: Crête  Ice core d18O
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Vinther, B.M. and Jones, P.D. and Briffa, K.R. and Clausen, H.B. and Andersen, K.K. and Dahl-Jensen, D. and Johnsen, S.J.
#	Journal Name: Quaternary Science Reviews
#	Published Title: Climatic signals in multiple highly resolved stable isotope records from Greenland
#	Published Date: 2010
#	DOI: 10.1016/j.quascirev.2009.11.002
#	Abstract: 
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: Greenland
#	Country: 
#	Northmost Latitude: 71.12
# 	Southmost Latitude: 71.12
# 	Eastmost Longitute: -37.32
# 	Westmost Longitute: -37.32
# 	Elevation: 3172
#------------------
# Data Collection  
#	Core Name: Crête
#	First Year: 553
#	Last Year: 1973
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>ice core>oxygen isotopes>delta 18O per mille 
#----------------
# Variables 
#	age_AD	Age (years AD)
#	d18OiceSMOW	delta18O ice (per mil SMOW)
# 
age_AD	d18OiceSMOW
1973	-36.65
1972	-35.78
1971	-34.78
1970	-35.72
1969	-34.55
1968	-37.91
1967	-38.19
1966	-35.36
1965	-36.6
1964	-34.88
1963	-35.74
1962	-35.13
1961	-35.47
1960	-37.15
1959	-34.42
1958	-35.53
1957	-35.72
1956	-35.05
1955	-34.26
1954	-38.07
1953	-36.93
1952	-38.52
1951	-36.37
1950	-37.27
1949	-35.84
1948	-35.53
1947	-34.36
1946	-33.25
1945	-36.65
1944	-38.29
1943	-37.22
1942	-33.88
1941	-39.47
1940	-33.28
1939	-36.88
1938	-35.24
1937	-38.65
1936	-37.28
1935	-35.7
1934	-34.92
1933	-35.57
1932	-36.67
1931	-36.65
1930	-37.62
1929	-33.44
1928	-38.91
1927	-36.63
1926	-35.39
1925	-37.08
1924	-36.41
1923	-36.39
1922	-37.39
1921	-36.23
1920	-40.9
1919	-37.38
1918	-37.45
1917	-35.14
1916	-35.74
1915	-36.93
1914	-39.59
1913	-39.54
1912	-34.63
1911	-36.29
1910	-38.49
1909	-36.35
1908	-34.82
1907	-40.72
1906	-39.63
1905	-41.64
1904	-38.74
1903	-38.31
1902	-36.19
1901	-35.75
1900	-39.48
1899	-35.97
1898	-38.62
1897	-36.89
1896	-36.59
1895	-35.5
